unlock_station_name;geolocation_unlock
147 - Doctor Arce 45;{'type': 'Point', 'coordinates': [-3.6797296, 40.4483269]}
193 - Ventas;{'type': 'Point', 'coordinates': [-3.6655555, 40.4324722]}
168 - Batalla del Salado;{'type': 'Point', 'coordinates': [-3.6959166, 40.4044722]}
230 - Carlota O’Neill;{'type': 'Point', 'coordinates': [-3.648958444298144, 40.44370542379883]}
16 - San Bernardo;{'type': 'Point', 'coordinates': [-3.7075065, 40.4230721]}
134 - Agustín de Betancourt;{'type': 'Point', 'coordinates': [-3.6956047, 40.4440297]}
120 - Palos de la Frontera;{'type': 'Point', 'coordinates': [-3.6944768, 40.4032208]}
28 - Sevilla;{'type': 'Point', 'coordinates': [-3.6984368, 40.4181518]}
114 - Quintana;{'type': 'Point', 'coordinates': [-3.7174158, 40.4277456]}
113 - Pintor Rosales;{'type': 'Point', 'coordinates': [-3.7205129, 40.427657]}
155 - San Germán 57;{'type': 'Point', 'coordinates': [-3.7009675, 40.4572824]}
238 - San Germán 5;{'type': 'Point', 'coordinates': [-3.6929376751795306, 40.45619382579544]}
154 - Orense 36;{'type': 'Point', 'coordinates': [-3.6946218, 40.4548456]}
110 - Moncloa;{'type': 'Point', 'coordinates': [-3.7200845, 40.4347895]}
156 - Sor Ángela de la Cruz;{'type': 'Point', 'coordinates': [-3.691533, 40.4592351]}
146 - María Francisca 1;{'type': 'Point', 'coordinates': [-3.6787169, 40.4442258]}
254 - Pío XII;{'type': 'Point', 'coordinates': [-3.67712, 40.46041]}
256 - Reina Victoria;{'type': 'Point', 'coordinates': [-3.71383, 40.44635]}
257 - INEF;{'type': 'Point', 'coordinates': [-3.72997, 40.43896]}
140 - Velázquez 130;{'type': 'Point', 'coordinates': [-3.6831578, 40.4385127]}
68 - Espalter;{'type': 'Point', 'coordinates': [-3.6912023, 40.4128372]}
103 - Ortega y Gasset;{'type': 'Point', 'coordinates': [-3.68653, 40.43037]}
106b - Colón B;{'type': 'Point', 'coordinates': [-3.687745, 40.424963]}
214 - Condesa de Venadito;{'type': 'Point', 'coordinates': [-3.65741, 40.44315]}
219 - Marroquina;{'type': 'Point', 'coordinates': [-3.646697, 40.408264]}
138 - Paseo de la Castellana con Raimundo Fernández;{'type': 'Point', 'coordinates': [-3.6917932, 40.4457414]}
105 - Serrano;{'type': 'Point', 'coordinates': [-3.68745, 40.42699]}
139 - José Gutiérrez Abascal;{'type': 'Point', 'coordinates': [-3.6907784, 40.4396792]}
22 - Jacometrezo;{'type': 'Point', 'coordinates': [-3.7065376, 40.4200783]}
258 - Ciudad Universitaria 1;{'type': 'Point', 'coordinates': [-3.72699, 40.44375]}
203 - San Francisco de Sales;{'type': 'Point', 'coordinates': [-3.7144722, 40.44175]}
137 - Plaza de la República Argentina;{'type': 'Point', 'coordinates': [-3.6853312, 40.445411]}
260 - Facultad Biología;{'type': 'Point', 'coordinates': [-3.7272945, 40.4483322]}
81 - Cuesta de Moyano;{'type': 'Point', 'coordinates': [-3.691987, 40.409297]}
261 - Facultad Derecho;{'type': 'Point', 'coordinates': [-3.72937, 40.45109]}
14 - Ventura Rodríguez;{'type': 'Point', 'coordinates': [-3.713479, 40.4260957]}
